house_title,resblock_name,bizcircle_name,district_name,layout,rent_area,rent_price_listing,frame_orientation,m_url
整租·承翰半山海 2室2厅 西北,承翰半山海,大鹏半岛,大鹏新区,2室2厅1卫,59.86,3000,西北,https://m.lianjia.com/chuzu/sz/zufang/SZ2784091458825617408.html
整租·金众云山栖 4室2厅 南,金众云山栖,大鹏半岛,大鹏新区,4室2厅2卫,88.00,3800,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2798343975055409152.html
整租·花样年家天下 4室2厅 南,花样年家天下,大鹏半岛,大鹏新区,4室2厅2卫,110.00,4500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2797030127169978368.html
整租·金众云山栖 3室2厅 西南,金众云山栖,大鹏半岛,大鹏新区,3室2厅1卫,73.35,3000,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2533305513530638336.html
整租·万科十七英里 1室1厅 南,万科十七英里,大鹏半岛,大鹏新区,1室1厅1卫,63.84,5250,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2534818210348269568.html
整租·承翰半山海 1室1厅 南,承翰半山海,大鹏半岛,大鹏新区,1室1厅1卫,36.35,2000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2754462089459810304.html
整租·承翰半山海 1室0厅 西,承翰半山海,大鹏半岛,大鹏新区,1室0厅1卫,36.34,1800,西,https://m.lianjia.com/chuzu/sz/zufang/SZ2539049318703710208.html
整租·金众云山栖 3室2厅 南,金众云山栖,大鹏半岛,大鹏新区,3室2厅1卫,82.35,3200,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2499251673235456000.html
整租·承翰半山海 2室1厅 南,承翰半山海,大鹏半岛,大鹏新区,2室1厅1卫,60.06,3500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2555608386007728128.html
整租·前海凯御 3室1厅 东南,前海凯御,前海,南山区,3室1厅1卫,58.00,7800,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2823216944537141248.html
整租·中润百分百公寓 2室1厅 南,中润百分百公寓,南山中心,南山区,2室1厅1卫,58.08,7000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2494708591576498176.html
整租·深圳市软件产业基地 3室2厅 南,深圳市软件产业基地,科技园,南山区,3室2厅1卫,102.55,11000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2820997764790624256.html
整租·瑧湾汇 3室1厅 东南/南,瑧湾汇,红树湾,南山区,3室1厅2卫,74.00,20000,东南 南,https://m.lianjia.com/chuzu/sz/zufang/SZ2820331338195288064.html
整租·安南花园 3室1厅 南,安南花园,蛇口,南山区,3室1厅1卫,89.20,7400,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2597060440563384320.html
整租·星海名城三期 4室2厅 东北,星海名城三期,前海,南山区,4室2厅2卫,122.00,12500,东北,https://m.lianjia.com/chuzu/sz/zufang/SZ2818168604267659264.html
整租·赛百诺基因科技大厦 1室0厅 南,赛百诺基因科技大厦,科技园,南山区,1室0厅1卫,38.00,3800,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2620297397879701504.html
整租·阳光带海滨城一期 4室2厅 东南,阳光带海滨城一期,科技园,南山区,4室2厅2卫,142.73,19000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2818050140647202816.html
整租·星海名城二期八组团 3室1厅 东南,星海名城二期八组团,前海,南山区,3室1厅2卫,115.09,12000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2820082376045510656.html
整租·赛百诺基因科技大厦 1室0厅 南,赛百诺基因科技大厦,科技园,南山区,1室0厅1卫,36.00,3800,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2620293330101075968.html
整租·铭筑 3室2厅 东/东南,铭筑,前海,南山区,3室2厅1卫,83.00,9800,东 东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2820399816013004800.html
整租·波托菲诺纯水岸一期 5室2厅 南,波托菲诺纯水岸一期,华侨城,南山区,5室2厅4卫,286.00,120000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2819720989661724672.html
整租·高发公寓 1室1厅 南,高发公寓,华侨城,南山区,1室1厅1卫,22.00,2700,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2820084179696893952.html
整租·鼎太风华六期 3室2厅 南,鼎太风华六期,前海,南山区,3室2厅2卫,116.00,9500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2673889692381872128.html
整租·栖游家园 3室2厅 东南,栖游家园,蛇口,南山区,3室2厅1卫,84.00,11000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2823148336679763968.html
整租·半山海景兰溪谷二期 3室2厅 南,半山海景兰溪谷二期,蛇口,南山区,3室2厅2卫,171.00,25000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2823791386162102272.html
整租·桑泰丹华园四期 4室2厅 跃层 南/北,桑泰丹华园四期,大学城,南山区,4室2厅3卫,138.00,20000,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2811732431751610368.html
整租·燕晗山苑 2室1厅 西南,燕晗山苑,华侨城,南山区,2室1厅1卫,98.63,16500,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2809444747796815872.html
整租·天马综合楼 3室2厅 南,天马综合楼,南山中心,南山区,3室2厅2卫,78.53,7000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2810249351593730048.html
整租·鼎太风华四期 3室2厅 南,鼎太风华四期,前海,南山区,3室2厅2卫,114.74,10700,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2568003642380517376.html
整租·深圳市软件产业基地 2室2厅 南,深圳市软件产业基地,科技园,南山区,2室2厅1卫,81.00,9500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2810660148950351872.html
整租·绿景美景广场 2室1厅 跃层 北,绿景美景广场,华侨城,南山区,2室1厅1卫,48.08,11500,北,https://m.lianjia.com/chuzu/sz/zufang/SZ2820163442714361856.html
整租·太古城南 3室2厅 南,太古城南,深圳湾,南山区,3室2厅1卫,70.00,11000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2810982687916441600.html
整租·招商海月华庭 1室1厅 南,招商海月华庭,蛇口,南山区,1室1厅1卫,60.00,7000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2823801689571082240.html
整租·阳光棕榈园三期 3室2厅 南,阳光棕榈园三期,前海,南山区,3室2厅2卫,105.69,9800,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2593228151731789824.html
整租·天鹅湖花园三期 3室1厅 东南,天鹅湖花园三期,华侨城,南山区,3室1厅2卫,123.00,22500,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2812129322071236608.html
整租·前海丹华 5室2厅 南/北,前海丹华,前海,南山区,5室2厅2卫,129.00,10000,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2812315647139119104.html
整租·大新时代大厦 2室1厅 南,大新时代大厦,前海,南山区,2室1厅1卫,55.81,7850,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2791286706052546560.html
整租·泛海拉菲花园 4室2厅 南,泛海拉菲花园,前海,南山区,4室2厅2卫,161.21,15000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2709362927026044928.html
整租·赛百诺基因科技大厦 1室0厅 南,赛百诺基因科技大厦,科技园,南山区,1室0厅1卫,36.00,3600,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2608630392831614976.html
整租·绿景中城天邑花园 2室2厅 南,绿景中城天邑花园,新洲,福田区,2室2厅1卫,68.00,7800,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2699910450543869952.html
整租·廊桥国际 2室2厅 南,廊桥国际,皇岗,福田区,2室2厅1卫,86.62,9500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2334694578567266304.html
整租·财富广场 1室0厅 南,财富广场,香蜜湖,福田区,1室0厅1卫,48.77,6400,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2753426715425644544.html
整租·显锐大厦 2室2厅 东北,显锐大厦,皇岗,福田区,2室2厅1卫,69.04,6000,东北,https://m.lianjia.com/chuzu/sz/zufang/SZ2650030654452146176.html
整租·宏轩大厦 3室1厅 西北,宏轩大厦,石厦,福田区,3室1厅1卫,69.00,7800,西北,https://m.lianjia.com/chuzu/sz/zufang/SZ2734620143425421312.html
整租·都市花园 3室1厅 东南,都市花园,车公庙,福田区,3室1厅1卫,79.00,8800,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2362080729061662720.html
整租·南天一花园 2室1厅 南/北,南天一花园,百花,福田区,2室1厅1卫,87.00,8500,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2670984576973160448.html
整租·嘉葆润金座 4室2厅 跃层 南,嘉葆润金座,新洲,福田区,4室2厅2卫,89.16,16000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2672424912827981824.html
整租·皇御苑一期 7室3厅 复式 东南/南,皇御苑一期,皇岗,福田区,7室3厅3卫,250.00,36000,东南 南,https://m.lianjia.com/chuzu/sz/zufang/SZ2671132244625858560.html
整租·时代华庭 2室0厅 复式 南,时代华庭,景田,福田区,2室0厅3卫,340.00,37500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2659961002719707136.html
整租·东方玫瑰花园 3室2厅 东南,东方玫瑰花园,景田,福田区,3室2厅2卫,178.00,25000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2665901172212375552.html
整租·香逸名园 3室2厅 南,香逸名园,景田,福田区,3室2厅2卫,118.23,13000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2668006593333313536.html
整租·嘉洲华苑 2室1厅 南,嘉洲华苑,车公庙,福田区,2室1厅1卫,76.54,7000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2312782329179291648.html
整租·财富广场 1室1厅 西北,财富广场,香蜜湖,福田区,1室1厅1卫,98.00,12000,西北,https://m.lianjia.com/chuzu/sz/zufang/SZ2695775125529706496.html
整租·星河雅居 3室2厅 东南,星河雅居,新洲,福田区,3室2厅1卫,88.20,8600,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2699097776486359040.html
整租·君临天下 2室2厅 北,君临天下,车公庙,福田区,2室2厅1卫,69.64,11000,北,https://m.lianjia.com/chuzu/sz/zufang/SZ2697141852414951424.html
整租·金港豪庭 2室1厅 南,金港豪庭,皇岗,福田区,2室1厅1卫,77.07,7600,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2517365694375936000.html
整租·海悦华城 3室1厅 东北,海悦华城,皇岗,福田区,3室1厅2卫,89.00,7300,东北,https://m.lianjia.com/chuzu/sz/zufang/SZ2576639823284805632.html
整租·皇舟苑 2室1厅 西北,皇舟苑,皇岗,福田区,2室1厅1卫,56.30,6000,西北,https://m.lianjia.com/chuzu/sz/zufang/SZ2617226657324335104.html
整租·海康大厦 1室0厅 西北,海康大厦,梅林,福田区,1室0厅1卫,25.53,4100,西北,https://m.lianjia.com/chuzu/sz/zufang/SZ2618023346914738176.html
整租·晨晖家园 1室0厅 南,晨晖家园,皇岗,福田区,1室0厅1卫,25.68,3600,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2515757333117157376.html
整租·嘉葆润金座 4室1厅 复式 北,嘉葆润金座,新洲,福田区,4室1厅1卫,70.51,12000,北,https://m.lianjia.com/chuzu/sz/zufang/SZ2660981758329094144.html
整租·京隆苑 5室2厅 南,京隆苑,皇岗,福田区,5室2厅2卫,195.00,14000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2716589427144269824.html
整租·阳基阳光城市 3室2厅 南,阳基阳光城市,皇岗,福田区,3室2厅2卫,84.93,8100,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2590491310431404032.html
整租·皇御苑三期 1室1厅 东南,皇御苑三期,皇岗,福田区,1室1厅1卫,26.00,3600,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2708690535409270784.html
整租·碧云天 3室2厅 北,碧云天,梅林,福田区,3室2厅1卫,105.63,12000,北,https://m.lianjia.com/chuzu/sz/zufang/SZ2679506702310842368.html
整租·财富广场 1室1厅 南,财富广场,香蜜湖,福田区,1室1厅1卫,48.77,6300,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2882452785281114112.html
整租·中洲湾-中洲滨海商业中心 1室0厅 南,中洲湾-中洲滨海商业中心,上下沙,福田区,1室0厅1卫,34.00,5800,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2642790925457162240.html
整租·旭飞华安园 1室0厅 南,旭飞华安园,梅林,福田区,1室0厅1卫,21.49,2900,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2878096010201546752.html
整租·知本大厦 5室2厅 复式 南,知本大厦,皇岗,福田区,5室2厅2卫,259.22,23500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2713561933151748096.html
整租·圣莫丽斯花园C区 3室2厅 东南,圣莫丽斯花园C区,梅林关,龙华区,3室2厅2卫,168.13,23000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ1815761637651783680.html
整租·鸿荣源·尚峻 2室2厅 复式 东南,鸿荣源·尚峻,上塘,龙华区,2室2厅2卫,91.00,6199,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2801562839989624832.html
整租·万科九龙山 1室0厅 南,万科九龙山,观澜,龙华区,1室0厅1卫,38.68,4500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2299182985570172928.html
整租·翠岭华庭 1室1厅 LOFT 南,翠岭华庭,梅林关,龙华区,1室1厅1卫,53.80,3900,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2827611384357847040.html
整租·鸿荣源·尚峻 2室1厅 东/东南/南/西南/西,鸿荣源·尚峻,上塘,龙华区,2室1厅2卫,91.00,6299,东 东南 南 西南 西,https://m.lianjia.com/chuzu/sz/zufang/SZ2803468817240424448.html
整租·港铁天颂 4室1厅 复式 南,港铁天颂,上塘,龙华区,4室1厅3卫,187.07,15000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2310173855048024064.html
整租·桦润馨居B区 2室2厅 南,桦润馨居B区,龙华中心,龙华区,2室2厅1卫,77.66,4300,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2384632459813208064.html
整租·万科九龙山 1室0厅 南,万科九龙山,观澜,龙华区,1室0厅0卫,73.00,4500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2351205516811698176.html
整租·富驰大厦 1室1厅 南,富驰大厦,龙华中心,龙华区,1室1厅1卫,40.00,4000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2298577839676727296.html
整租·星河丹堤 5室4厅 南/北,星河丹堤,梅林关,龙华区,5室4厅5卫,226.85,40000,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2344691235123904512.html
整租·合正中央原著 3室2厅 南,合正中央原著,红山,龙华区,3室2厅2卫,127.83,10000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2403595760932225024.html
整租·鸿荣源·尚峻 3室1厅 东/东南/南/西南/西,鸿荣源·尚峻,上塘,龙华区,3室1厅1卫,91.00,6200,东 东南 南 西南 西,https://m.lianjia.com/chuzu/sz/zufang/SZ2815910466248261632.html
整租·莱蒙水榭春天A区6期 4室2厅 南,莱蒙水榭春天A区6期,红山,龙华区,4室2厅2卫,128.00,12000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2479754152222130176.html
整租·星河丹堤 4室1厅 复式 南,星河丹堤,梅林关,龙华区,4室1厅3卫,212.31,25000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2502135888017375232.html
整租·鸿荣源·尚峻 3室2厅 LOFT 南,鸿荣源·尚峻,上塘,龙华区,3室2厅2卫,94.00,6199,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2812190546947211264.html
整租·锦绣江南一期 4室2厅 南,锦绣江南一期,龙华新区,龙华区,4室2厅2卫,146.04,8500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2298569874693431296.html
整租·星河盛世花园 2室2厅 南,星河盛世花园,梅林关,龙华区,2室2厅1卫,78.01,8100,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2588957766932496384.html
整租·HBC汇隆中心 2室2厅 东,HBC汇隆中心,梅林关,龙华区,2室2厅1卫,59.49,6900,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2298574667910217728.html
整租·合正中央原著 5室3厅 复式 南,合正中央原著,红山,龙华区,5室3厅4卫,227.53,27000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2353378568089632768.html
整租·鸿荣源·尚峻 3室1厅 复式 东南,鸿荣源·尚峻,上塘,龙华区,3室1厅1卫,94.00,6199,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2817340381388349440.html
整租·万科九龙山 1室1厅 南,万科九龙山,观澜,龙华区,1室1厅1卫,72.82,5000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2332390142108770304.html
整租·皓月花园 3室2厅 东南,皓月花园,民治,龙华区,3室2厅2卫,105.72,6200,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2513718955101921280.html
整租·鸿荣源·尚峻 2室2厅 复式 东南,鸿荣源·尚峻,上塘,龙华区,2室2厅2卫,91.00,6199,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2810867716800380928.html
整租·华美丽苑 6室1厅 复式 南,华美丽苑,龙华新区,龙华区,6室1厅3卫,139.14,8500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2574392766096482304.html
整租·鸿荣源·尚峻 1室2厅 复式 东,鸿荣源·尚峻,上塘,龙华区,1室2厅2卫,65.00,5199,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2811013513625993216.html
整租·美丽365花园 3室2厅 东南,美丽365花园,龙华中心,龙华区,3室2厅1卫,85.18,5000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2580934447243198464.html
整租·鸿荣源·尚峻 1室1厅 复式 东南,鸿荣源·尚峻,上塘,龙华区,1室1厅2卫,65.00,5199,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2801567869925081088.html
整租·鸿荣源·尚峻 3室2厅 复式 东/东南/南/西南/西,鸿荣源·尚峻,上塘,龙华区,3室2厅2卫,94.00,6199,东 东南 南 西南 西,https://m.lianjia.com/chuzu/sz/zufang/SZ2803468815747522560.html
整租·康华苑 3室2厅 东,康华苑,龙华中心,龙华区,3室2厅1卫,86.00,4500,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2594010419660603392.html
整租·新阳丽舍 1室1厅 东,新阳丽舍,龙华中心,龙华区,1室1厅1卫,31.08,2200,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2565888198945275904.html
整租·光明1号 3室2厅 东南,光明1号,公明,光明区,3室2厅1卫,83.30,4500,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2884163856035758080.html
整租·中粮云景广场 1室1厅 南,中粮云景广场,公明,光明区,1室1厅1卫,48.00,3300,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2632673220020404224.html
整租·宏发天汇城一期 3室2厅 东南,宏发天汇城一期,公明,光明区,3室2厅1卫,80.00,5000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2636962691410821120.html
整租·宏发天汇城一期 4室2厅 东南,宏发天汇城一期,公明,光明区,4室2厅2卫,89.00,5200,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2681731679366168576.html
整租·宏发天汇城一期 4室2厅 东北,宏发天汇城一期,公明,光明区,4室2厅2卫,87.64,5500,东北,https://m.lianjia.com/chuzu/sz/zufang/SZ2659221410962219008.html
整租·宏发天汇城一期 4室2厅 东南,宏发天汇城一期,公明,光明区,4室2厅2卫,89.00,5300,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2809973991853260800.html
整租·深房传麒山东区 9室2厅 南,深房传麒山东区,公明,光明区,9室2厅4卫,299.61,16000,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2697666171209261056.html
整租·奥园峯荟 2室1厅 复式 西,奥园峯荟,公明,光明区,2室1厅1卫,52.41,3000,西,https://m.lianjia.com/chuzu/sz/zufang/SZ2691416090550484992.html
整租·宏发雍景城 4室2厅 复式 南/北,宏发雍景城,公明,光明区,4室2厅2卫,101.56,4800,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2649423609386237952.html
整租·龙光玖龙台 4室2厅 南,龙光玖龙台,公明,光明区,4室2厅2卫,102.00,6500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2604205040529326080.html
整租·宏发天汇城一期 4室2厅 东南,宏发天汇城一期,公明,光明区,4室2厅2卫,107.00,5200,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2846337231642165248.html
整租·碧桂园星荟 2室1厅 东南,碧桂园星荟,公明,光明区,2室1厅2卫,42.00,3500,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2736071449516449792.html
整租·中粮云景国际 3室2厅 东南,中粮云景国际,公明,光明区,3室2厅2卫,89.00,4600,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2739949735216414720.html
整租·光明1号 3室2厅 东南,光明1号,公明,光明区,3室2厅2卫,88.00,4300,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2900004020028981248.html
整租·碧桂园星荟 2室1厅 南,碧桂园星荟,公明,光明区,2室1厅2卫,42.00,3300,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2604401200199901184.html
整租·光明大第 4室2厅 复式 西南,光明大第,公明,光明区,4室2厅2卫,87.01,6000,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2735653433075048448.html
整租·宏发天汇城一期 4室2厅 南,宏发天汇城一期,公明,光明区,4室2厅2卫,89.58,5500,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2635590953515630592.html
整租·龙光玖龙台 4室2厅 西南,龙光玖龙台,公明,光明区,4室2厅2卫,102.64,6700,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2676303435288559616.html
整租·碧桂园星荟 2室2厅 东南,碧桂园星荟,公明,光明区,2室2厅2卫,44.24,3500,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2735617544336711680.html
整租·奥园峯荟 2室1厅 东南,奥园峯荟,公明,光明区,2室1厅1卫,53.00,3800,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2734890858938630144.html
整租·碧桂园星荟 1室0厅 东南,碧桂园星荟,公明,光明区,1室0厅0卫,89.77,2000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2687496273506082816.html
整租·宏发天汇城一期 3室2厅 东南,宏发天汇城一期,公明,光明区,3室2厅2卫,89.00,4800,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2878800980647362560.html
整租·中粮云景广场 3室1厅 东南/北,中粮云景广场,公明,光明区,3室1厅2卫,58.00,4000,东南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2762908541324378112.html
整租·龙光玖龙台 2室2厅 东南,龙光玖龙台,公明,光明区,2室2厅2卫,73.00,4000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2893465704508694528.html
整租·宏发天汇城一期 4室2厅 东南,宏发天汇城一期,公明,光明区,4室2厅2卫,110.00,5000,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2869452058476953600.html
整租·奥园峯荟 2室2厅 东南,奥园峯荟,公明,光明区,2室2厅1卫,54.00,2500,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2732538284999196672.html
整租·中粮云景广场 2室1厅 西北,中粮云景广场,公明,光明区,2室1厅2卫,68.98,4200,西北,https://m.lianjia.com/chuzu/sz/zufang/SZ2761574480902881280.html
独栋·西柚小镇 37号店 阳光58-1002 1室1厅,,,,1室1厅1卫,30.00,920,南,https://m.lianjia.com/chuzu/sz/apartment/layout/347269.html
